Symbol,Volatility
AGNC U2N08SGALPWL,0.24734899726289258
ARCC T2L91KBTRCDH,0.29711974828695076
RCAT XO3B3AS6QKIT,0.32313949985914625
ETE TFVSB03UY0DH,0.32902030959334505
HBAN R735QTJ8XC9X,0.3563789673807246
F R735QTJ8XC9X,0.3616881714359105
KMI UU1M6GZF9OPX,0.3978511020240908
HPE W584BQZL94KL,0.42314683597694436
ACIC XKGCMV4QK86D,0.44497315420231104
AES R735QTJ8XC9X,0.4570686803992709
GIG XNAR4L6AIOV9,0.4759053819557928
KEY R735QTJ8XC9X,0.5067630664057576
RGTI XWGLVWPU5FMT,0.5161768440090252
SBC R735QTJ8XC9X,0.5229839184637648
VICI WT7NDQSMCSBP,0.5250609731281084
DPS U2F4O1IXZOMD,0.5326729079370842
QBTS Y0T5YRVOBE5H,0.5382736263544406
NLY R735QTJ8XC9X,0.5590185631681858
SRAQ W9QL36CFVM1X,0.5681422878124137
CSX R735QTJ8XC9X,0.61899594790275
SV XK6I5XH1SOKL,0.6330747889163377
QUBT XQ652EL0JWPX,0.6414464229741447
PPL R735QTJ8XC9X,0.6436478603769976
RKLB XRAIE8KXOUAT,0.6574282278823482
SOUN XY0QD8KGIFS5,0.6681531427568808
INVH WHQ3MH5Q7WX1,0.6832770875618505
CTACU WYFPRLNUYVZ9,0.6857586054448008
JBLU SDS6KRJQD1T1,0.6900849093264407
OAC X7PIBAO2WNDX,0.7071530210886698
HWP R735QTJ8XC9X,0.7151711207836923
